r R_0 R_1 R_2
24.9 3.47544809649772E-18 6.12131005182005E-07 0.00397871249090955
25 1.95857729529294E-18 5.61898262495575E-07 0.00378276669641757
25.1 3.08018189076056E-18 5.15642456959035E-07 0.0035940406605506
25.2 3.10160643023164E-18 4.73052550153472E-07 0.00341232404849166
25.3 3.42108442190678E-18 4.33841446654356E-07 0.00323741153407672
25.4 1.90332325804946E-18 3.9774336468776E-07 0.00306910287257088
25.5 2.7615334688842E-18 3.64515466409745E-07 0.00290720275381455
25.6 1.86040241933919E-18 3.33931263835109E-07 0.00275152092257845
25.7 9.74612318372287E-19 3.0578358058078E-07 0.00260187207474632
25.8 9.31287091840627E-20 2.79880544264324E-07 0.00245807588839079
25.9 2.59504711733003E-19 2.56045131258557E-07 0.00231995694334353
26 1.08866955347521E-18 2.34115118063793E-07 0.00218734481913495
26.1 1.50070147730349E-20 2.13939978061402E-07 0.00206007387050994
26.2 3.25726968788507E-21 1.95381827635544E-07 0.00193798332991351
26.3 1.41195343018763E-19 1.78311923748019E-07 0.00182091720058571
26.4 2.15601323987771E-18 1.6261377521523E-07 0.00170872424945918
26.5 7.08061596520961E-19 1.4817861480061E-07 0.00160125795675765
26.6 2.83067013188017E-19 1.34907314270036E-07 0.00149837648228933
26.7 5.6248211138906E-19 1.22707676038809E-07 0.00139994257604409
26.8 1.42940153081264E-18 1.1149473888016E-07 0.00130582351189592
26.9 1.79675287858762E-18 1.01190802116509E-07 0.00121589117584574
27 7.70678107777234E-20 9.17241696184506E-08 0.00113002186981216
27.1 3.12927576129737E-19 8.30290209050293E-08 0.0010480963111002
27.2 2.45381487847537E-18 7.50444469646206E-08 0.000969999629812457
27.3 1.22634025432507E-18 6.7714622597722E-08 0.000895621181034128
27.4 2.16531861382445E-18 6.09877910551773E-08 0.000824854692472123
27.5 1.80907253083335E-18 5.48174430786669E-08 0.00075759807168401
27.6 3.99762350473495E-18 4.91596883061015E-08 0.00069375342785317
27.7 1.47590096863645E-18 4.39749187026487E-08 0.0006332269252763
27.8 1.19460841349655E-20 3.92264289202351E-08 0.000575928892984461
27.9 2.8248658144618E-20 3.48806859991693E-08 0.000521773660041174
28 1.16045487489104E-20 3.09068126046645E-08 0.000470679571391108
28.1 5.61171162353917E-19 2.72768114477262E-08 0.000422568942788567
28.2 1.94371681896905E-18 2.39647263291466E-08 0.000377367971913274
28.3 9.15465635222685E-18 2.0946959089146E-08 0.0003350067930741
28.4 3.68918149885831E-18 1.82021307360173E-08 0.000295419360620467
28.5 3.30789095228621E-18 1.57105224678188E-08 0.000258543504478427
28.6 6.51658929141148E-19 1.34544165677273E-08 0.000224320792709721
28.7 3.40127459730142E-19 1.1417639220958E-08 0.000192696619070055
28.8 6.30489847308469E-20 9.58568592727E-09 0.000163620128723496
28.9 6.11906898203481E-19 7.94516433175871E-09 0.000137044194816124
29 5.2348834258214E-19 6.48448523281645E-09 0.000112925443332794
29.1 6.87671601763121E-20 5.19301134354421E-09 9.12242032333041E-05
29.2 1.98590616004659E-21 4.06144148836031E-09 7.19045318819457E-05
29.3 6.26322621225199E-19 3.08159085109657E-09 5.49341959779962E-05
29.4 8.686315038623E-19 2.24629806234466E-09 4.02846894203079E-05
29.5 2.87182417457653E-19 1.54958177346884E-09 2.79312128384653E-05
29.6 3.77821067065406E-19 9.86336706210216E-10 1.78527320076642E-05
29.7 2.20806805324018E-22 5.52461036558907E-10 1.00319618773948E-05
29.8 7.01225445298922E-19 2.4478815653344E-10 4.45540159017715E-06
29.9 1.26952191198958E-18 6.10874025324302E-11 1.11336159108071E-06
